cand,fset,h,how,filt,gate,univ,topk,topk_t,ann,bench,excess,ir,sharpe,maxdd,cost,cash,hold,yr_pos,y2020,y2021,y2022,y2023,y2024
surv10,surv10,21,ridge,trend_abs,always,500,-0.004945523114330561,-1.696512613086679,0.16672043116613477,0.29716493118767007,-0.1304445000215353,-0.7841935177428171,0.8193325780805615,-0.3432438697352843,0.025983684254201913,0.0068085106382979824,40.0,0.2,-0.1758467878806198,-0.028494249513150827,-0.1215968811367798,-0.1611321015580418,0.009807921382926743
surv10,surv10,21,ridge,trend_abs,ma200,500,-0.004945523114330561,-1.696512613086679,0.13158378931548675,0.29716493118767007,-0.1655811418721833,-0.9457779972390593,0.6975493765958094,-0.33487969621440616,0.022648749912912283,0.08510638297872344,50.0,0.2,-0.26089677535535893,-0.04602741907529728,-0.1668627917536062,-0.15763288507055473,0.02498614195399229
surv10,surv10,21,ridge,trend_abs,vol_calm,500,-0.004945523114330561,-1.696512613086679,0.10315935138091681,0.29716493118767007,-0.19400557980675326,-1.1806557229767891,0.562743571728817,-0.3432438697352843,0.023930977781455243,0.049361702127659654,40.0,0.0,-0.258980012757131,-0.03968843263875477,-0.13946831311025987,-0.14020815073745851,-0.1329274165170431
surv10,surv10,21,ridge,trend_abs,always,750,-0.004945523114330561,-1.696512613086679,0.16943820063038695,0.29716493118767007,-0.12772673055728312,-0.7820174164446506,0.8278371950262927,-0.3432438697352843,0.02673919272600805,0.0068085106382979824,40.0,0.2,-0.1758467878806198,-0.028494249513150827,-0.1265013679685253,-0.1603588082635411,0.028172430981464824
surv10,surv10,21,ridge,trend_abs,ma200,750,-0.004945523114330561,-1.696512613086679,0.14173561237131294,0.29716493118767007,-0.15542931881635713,-0.8973327870683389,0.7386210457669251,-0.33487969621440616,0.022903508703892093,0.08851063829787237,45.0,0.2,-0.26089677535535893,-0.04602741907529728,-0.16729593988333502,-0.10342380621469538,0.006995173141530531
surv10,surv10,21,ridge,trend_abs,vol_calm,750,-0.004945523114330561,-1.696512613086679,0.12666129407238857,0.29716493118767007,-0.1705036371152815,-1.0434172065370113,0.6629717654156804,-0.3432438697352843,0.02432144349955943,0.051914893617021354,40.0,0.0,-0.258980012757131,-0.03968843263875477,-0.14301415402044737,-0.16378869729592416,-0.011796028233594047
surv10,surv10,42,equal,none,always,500,0.0013767004995814203,0.36640012748437945,0.32366250644820327,0.29716493118767007,0.0264975752605332,0.1529906795855725,1.2520176761463198,-0.4023991770374813,0.04993541955244882,1.1102230246251565e-16,30.0,0.4,-0.0049631248332723255,-0.030401501647622453,0.13479444421121967,-0.0847633749343486,0.052863676364026
surv10,surv10,42,equal,none,ma200,500,0.0013767004995814203,0.36640012748437945,0.2266268947081893,0.29716493118767007,-0.07053803647948076,-0.46410006678036003,1.0896315631362021,-0.29268743536212494,0.04650161893499711,0.10638297872340428,30.0,0.2,-0.2083206075990578,-0.030401501647622342,-0.029065546936695608,-0.10520201914891258,0.052863676364026224
surv10,surv10,42,equal,none,vol_calm,500,0.0013767004995814203,0.36640012748437945,0.23958799077170467,0.29716493118767007,-0.057576940415965394,-0.3739118662454086,1.0484023782321712,-0.3710826124745258,0.04897560460569098,0.06893617021276605,30.0,0.2,-0.104602093681738,-0.03538180954224346,0.07705856103371822,-0.13777845813359524,-0.054102518455966475
surv10,surv10,42,equal,none,always,750,0.0013767004995814203,0.36640012748437945,0.28699398451811775,0.29716493118767007,-0.010170946669552317,-0.0504519452825784,1.1190710414656402,-0.4023991770374813,0.05305394641046149,1.1102230246251565e-16,30.0,0.4,-0.0049631248332723255,-0.06734992405131945,0.14560215440202984,-0.1401174256523232,0.0175548642216512
surv10,surv10,42,equal,none,ma200,750,0.0013767004995814203,0.36640012748437945,0.18583075656471082,0.29716493118767007,-0.11133417462295925,-0.7060732372885784,0.9026447017421754,-0.29268743536212494,0.05018936719904631,0.10808510638297876,30.0,0.2,-0.2083206075990578,-0.06734992405131912,-0.04655501675967699,-0.15931985220926903,0.017554864221651867
surv10,surv10,42,equal,none,vol_calm,750,0.0013767004995814203,0.36640012748437945,0.2388354172345204,0.29716493118767007,-0.05832951395314967,-0.37314979591600655,1.0371503343892297,-0.3710826124745258,0.051032261094595445,0.07319148936170222,30.0,0.4,-0.104602093681738,-0.07673522574917668,0.06995148518661565,-0.174049950135166,0.0375481562821709
