factor,h,ic,t,null_t95,keep,n_dates,n_null
beta_126,21,0.007439638426499274,0.9203628562180742,5.006529507389887,False,257,391
beta_252,21,0.015276105968905482,1.8158104620788584,3.437417358055774,False,221,355
beta_down,21,0.004066091746897755,0.4501656086068736,4.5519805957824255,False,260,394
idio_vol_126,21,-0.018999750418422914,-1.9598415728563103,4.804807213874202,False,239,373
idio_skew_126,21,-0.010267305642484507,-2.2674353459899685,6.632715687872387,False,239,373
ret_skew_126,21,-0.007705313899676418,-2.0114066014158083,5.803774816648622,False,293,426
ret_kurt_126,21,-0.02920129729723016,-8.289612959452153,4.709741299796844,True,293,426
resid_mom_252_21,21,0.023352394464147212,4.811075733740797,6.02511437697061,False,221,355
resid_mom_126_21,21,-0.0034664313331370985,-0.6046791196721234,4.180065285559242,False,239,373
resid_rev_21,21,-0.015131518678216885,-3.3207559001837734,3.062580534383558,True,239,373
downside_vol_60,21,-0.029328032331256332,-3.7559617872621267,4.802634777629347,False,293,426
max_dd_120,21,0.04006013405621533,3.9546200106186022,3.836939943614946,True,293,426
ulcer_120,21,-0.04358974878466934,-4.4767482461217405,3.4760910486144,True,293,426
max_dd_252,21,0.036695654670103064,3.603439698006979,8.29184191991148,False,293,426
ulcer_252,21,-0.03857205990381325,-3.8273220554885867,8.288341923957965,False,293,426
parkinson_60,21,-0.021430350011771026,-2.3973809622481705,4.905204482801255,False,293,426
garman_klass_60,21,-0.019795100473250025,-2.2548819974186283,4.945268846521165,False,293,426
atr_pct_14,21,-0.01329477812340109,-1.6171562749826278,4.569061538346056,False,293,426
log_adtv_60,21,-0.014856608973216978,-2.813654532926535,5.930516947553649,False,293,426
turnover_trend,21,0.005843232342180231,1.2744056011639302,3.1722685226824145,False,293,426
amihud_60,21,0.006507934966691625,1.1034420945769292,6.82549075735427,False,293,426
amihud_trend,21,-0.009325777299041474,-1.8396734670027675,3.883653291015367,False,293,426
zero_ret_60,21,0.014050716957347944,3.3673399041595298,5.260517227001703,False,293,426
avg_trade_size,21,0.0019659790024941395,0.30919159976999877,6.201732481215894,False,293,426
volume_shock_5,21,0.00516109964461689,1.193825326841991,3.0039420194097244,False,293,426
vol_of_turnover,21,-0.008669185944047983,-1.8663192734194116,7.177470661577285,False,293,426
cs_spread_60,21,-0.0037922037332571486,-0.5568870908263318,5.584271832354558,False,293,426
deliv_pct_60,21,0.024644961333247974,3.4073964154688463,3.699761316432562,False,244,378
deliv_trend,21,0.013346171141605266,3.169853569983387,4.2630219164316285,False,235,369
deliv_z_21,21,0.02758297257517274,6.240863328785471,4.264776468437024,True,222,356
deliv_chg_5,21,0.015217763927451977,4.092171776568754,3.1382804734459513,True,244,378
deliv_x_turnover,21,0.02043804128361155,2.6988422415045368,3.813758179648344,False,244,378
deliv_value_trend,21,0.002893447973335626,0.5915925879564894,3.713404873506845,False,235,369
dist_50dma,21,-0.004034083921064328,-0.6439359736023276,3.1357185512745813,False,293,426
dist_200dma,21,0.029652662048270242,3.5945237014882476,4.576429027325715,False,293,426
ma_50_200,21,0.03550901600170408,4.285045123297779,4.638418908472501,False,293,426
price_vs_vwap_20,21,-0.012776360135746264,-2.258914651113216,2.7263953613180796,False,293,426
rsi_14,21,-0.009250279977693458,-1.8452440731481947,2.763757800924667,False,293,426
trend_r2_120,21,0.015469908191526016,3.0020083420499772,3.944949943494766,False,293,426
trend_slope_120,21,0.029124138823670875,3.985645493601061,4.3873100007654475,False,293,426
seasonal_same_month,21,-0.00806327239054578,-1.2345060237689784,9.893116251600034,False,293,426
mom_1_0,42,0.002875636755386808,0.5215849491827819,3.097344227071485,False,293,426
mom_2_0,42,0.020211775614254163,3.296903625431863,4.111438256604747,False,293,426
mom_3_1,42,0.02923854000207693,4.8059655133542565,4.1983419315266985,True,293,426
mom_6_1,42,0.040052765184383894,5.837298986263686,6.1871186602105785,False,293,426
mom_12_1,42,0.05811840516380624,6.854720936371353,8.823240583361093,False,293,426
mom_12_6,42,0.044745109622774275,5.929103339425547,7.362262652514323,False,293,426
mom_9_1,42,0.057718446839745835,7.020869693337996,7.444829458134038,False,293,426
mom_accel,42,-0.034697618459258076,-5.6080061583523735,6.0721414905607105,False,293,426
vol_20,42,-0.011328766507674785,-1.5180103420040443,7.660385968588414,False,293,426
vol_60,42,-0.02865327232535922,-3.082263434855628,8.118372053715074,False,293,426
vol_252,42,-0.027454995209091133,-2.739499800686261,7.6557813281430604,False,293,426
vol_ratio_20_120,42,0.009826984393490426,2.4804488178245485,4.332610478310555,False,293,426
voladj_mom_6_1,42,0.04194315445082286,6.423155369506388,4.735007945543401,True,293,426
voladj_mom_12_1,42,0.058437010361337124,7.1816295135544,6.98606663597221,True,293,426
mom_consist_126,42,0.040807413022623966,7.075705616654204,5.613825629244199,True,293,426
fip_6,42,0.009173126622186301,2.318308260617237,6.763161237894683,False,293,426
intraday_mom_126,42,0.044946446470790935,6.820222513530634,4.712192487117102,True,293,426
overnight_mom_126,42,-0.0020704474744518498,-0.3825836549275863,8.639146490059582,False,293,426
intraday_mom_21,42,0.0033680243958971196,0.614057589483992,3.2680413455523936,False,293,426
overnight_mom_21,42,-0.001059370506074298,-0.2269520417564668,6.653740247491403,False,293,426
prox_52w,42,0.05771836305634217,6.703012083661758,4.328999152699171,True,293,426
prox_52w_now,42,0.05174618908967206,5.937927616243285,4.56071561385024,True,293,426
dist_low_52w,42,0.04071018578865891,6.572213599435836,7.658469774789377,False,293,426
rev_1w,42,-0.005636696307315642,-1.0931967074202968,1.867170056290582,False,293,426
rev_2w,42,-0.0031737138709488806,-0.6020069890361671,2.233408803982228,False,293,426
rev_1m_scaled,42,0.004768068988016901,0.967631240398063,3.517253663407904,False,293,426
max5_21,42,-0.008855008968422841,-1.3845736806216142,7.082701036796169,False,293,426
min5_21,42,0.014353685609194724,1.7563333973321393,6.687188598916893,False,293,426
beta_126,42,0.020315510181097753,2.5570936347595175,7.245015379229811,False,257,391
beta_252,42,0.029736114421506334,3.7066516905583518,5.610923718950316,False,221,355
beta_down,42,0.0124176541341658,1.4484943378547037,6.1531131936665515,False,260,394
idio_vol_126,42,-0.004895029166604214,-0.5041441689794357,8.942910560576559,False,239,373
idio_skew_126,42,-0.011129658900964873,-2.348742620246806,9.448910360461232,False,239,373
ret_skew_126,42,-0.007970340432061076,-2.0768319644537563,7.524016185638594,False,293,426
ret_kurt_126,42,-0.03458951496207493,-9.512196840301911,6.8639683471369395,True,293,426
resid_mom_252_21,42,0.03560776252759339,7.034782685555816,16.96767950467586,False,221,355
resid_mom_126_21,42,-0.0048660752593233875,-0.718977459366555,5.452356861845132,False,239,373
resid_rev_21,42,-0.011194627947311308,-2.5303685371689175,3.3795953067831572,False,239,373
downside_vol_60,42,-0.02867165959052709,-3.520097982614356,7.62371885065582,False,293,426
max_dd_120,42,0.04441061020779037,4.381030610435433,5.208307320405245,False,293,426
ulcer_120,42,-0.050008378973502764,-5.144511047647416,4.992895638409973,True,293,426
max_dd_252,42,0.036666734975489376,3.686089438132092,11.061650629025849,False,293,426
ulcer_252,42,-0.041634419585651894,-4.218194569415148,11.576980676572942,False,293,426
parkinson_60,42,-0.017378874547427276,-1.9191514462719101,8.724559263599112,False,293,426
garman_klass_60,42,-0.015177026875671936,-1.7133563046116451,8.939447036478176,False,293,426
atr_pct_14,42,-0.005921252961627315,-0.728045309613859,8.264673197129376,False,293,426
log_adtv_60,42,-0.023729993060133465,-4.547418064995278,9.107145060566618,False,293,426
turnover_trend,42,0.01193660080193026,2.782360237926441,4.154825681239735,False,293,426
amihud_60,42,0.01675146434937637,3.0632990757910106,9.845638373592429,False,293,426
amihud_trend,42,-0.01582091931427906,-3.087015269810197,5.508872909670975,False,293,426
zero_ret_60,42,0.015332216006914324,3.4587013533161417,7.9790623972449275,False,293,426
avg_trade_size,42,-0.007349080851831253,-1.2118945157018852,9.084851324968932,False,293,426
volume_shock_5,42,0.01592899462533252,3.9335506919305105,3.2176882834507037,True,293,426
vol_of_turnover,42,-0.0048499903163473634,-1.043735454390134,9.531106921804756,False,293,426
cs_spread_60,42,0.0008149944555196837,0.11949967203939876,10.157128814628253,False,293,426
deliv_pct_60,42,0.025286294519094525,3.518428380925058,5.579726720987398,False,244,378
deliv_trend,42,0.012064077579087278,2.822588737202208,5.547327190931563,False,235,369
deliv_z_21,42,0.02610789204505641,6.130565736584973,5.814593939496266,True,222,356
deliv_chg_5,42,0.010408125321084573,2.728434115033344,3.5575047879679262,False,244,378
deliv_x_turnover,42,0.018675755910754696,2.549941887198994,5.541319304433001,False,244,378
deliv_value_trend,42,0.0060865208789745405,1.340182162715499,4.683646976661635,False,235,369
dist_50dma,42,0.011875985845986498,2.014367543730775,3.8817624246022433,False,293,426
dist_200dma,42,0.04728315257797642,6.173654058815281,6.3404711776049085,False,293,426
ma_50_200,42,0.05071635665620643,6.558237470595162,7.017913737844821,False,293,426
price_vs_vwap_20,42,-0.00218356428800459,-0.39674031775581986,2.7255268685962584,False,293,426
rsi_14,42,0.0004972548259586203,0.10556773458764354,2.716005308265327,False,293,426
trend_r2_120,42,0.01952801331833369,4.329712669349864,5.691610969811016,False,293,426
trend_slope_120,42,0.041465304286986006,6.214229930796808,6.220909667775482,False,293,426
seasonal_same_month,42,-0.007322354685350463,-1.222131690181411,15.208437547497553,False,293,426
mom_1_0,63,0.017684577360305938,3.080722666652977,3.3584006227468013,False,293,426
mom_2_0,63,0.03254247713236226,5.340616576506246,4.48348564264998,True,293,426
mom_3_1,63,0.03445678025071631,5.824106279838968,4.618471509797274,True,293,426
mom_6_1,63,0.051625129980329074,7.390191074670262,7.08099381594912,True,293,426
mom_12_1,63,0.0689464898352474,8.083794986657258,12.067914900280096,False,293,426
mom_12_6,63,0.04898554927775424,6.580446362399706,9.435357200528735,False,293,426
mom_9_1,63,0.06737169745759405,8.26055171858165,8.975163377431564,False,293,426
mom_accel,63,-0.04599272137290921,-7.358904434345785,7.296473523137349,True,293,426
vol_20,63,-0.013754590249988576,-1.7565684577670457,9.12796680742471,False,293,426
vol_60,63,-0.026242197446925818,-2.7369867175214164,10.07809920613738,False,293,426
vol_252,63,-0.02422867344936452,-2.4225557223674317,9.905962135963502,False,293,426
vol_ratio_20_120,63,0.0026396235454328753,0.6598654324707255,4.567747969292526,False,293,426
voladj_mom_6_1,63,0.05240818190615904,7.973976226225842,5.375124242368318,True,293,426
voladj_mom_12_1,63,0.06858833411940081,8.404110610076604,9.404956537922033,False,293,426
mom_consist_126,63,0.0454950390496654,7.956128502679291,7.005712622529263,True,293,426
fip_6,63,0.013261357946256323,3.4394718259060277,7.906549806097993,False,293,426
intraday_mom_126,63,0.056568754513789635,8.418507452123281,5.615481503725298,True,293,426
overnight_mom_126,63,-0.001413218503763285,-0.2614411268798639,10.854919199910887,False,293,426
intraday_mom_21,63,0.015265073981293516,2.695431091324421,3.898415745747118,False,293,426
overnight_mom_21,63,0.0027107234912644037,0.5626379461468718,7.886777843330554,False,293,426
prox_52w,63,0.0643011961758317,7.555002981850145,5.27712865904881,True,293,426
prox_52w_now,63,0.06473885322991631,7.681421405447645,5.8013580599174785,True,293,426
dist_low_52w,63,0.05332287742545599,8.589075583389107,9.846146118125837,False,293,426
rev_1w,63,0.005026085198504337,0.9860762606541356,2.026203963151582,False,293,426
rev_2w,63,0.011828336877527008,2.2591604541900026,2.553548081679578,False,293,426
rev_1m_scaled,63,0.019418375256806404,3.899331854883354,3.787848300509993,True,293,426
max5_21,63,-0.004834241206449669,-0.6999642149308083,7.924605115277199,False,293,426
min5_21,63,0.021603719043571595,2.639667155423749,7.871123059081856,False,293,426
beta_126,63,0.027119754237071084,3.3394303856051266,8.800497143047798,False,257,391
beta_252,63,0.040559991516690035,5.317326407557366,7.822331661578955,False,221,355
beta_down,63,0.016958005790885397,2.002237506892028,7.401883647510088,False,260,394
idio_vol_126,63,0.005981850507451272,0.6340136363438006,11.391984056064842,False,239,373
idio_skew_126,63,-0.009347025722474181,-1.8886357359357404,10.594808930113013,False,239,373
ret_skew_126,63,-0.0062628734303228455,-1.580602609646985,9.220684313660001,False,293,426
ret_kurt_126,63,-0.03450859748361512,-9.9517594654052,7.765761897454605,True,293,426
resid_mom_252_21,63,0.035631102758254894,6.742519282167095,30.13852818482468,False,221,355
resid_mom_126_21,63,-0.0077064459362001176,-1.128538073652267,6.23459474453605,False,239,373
resid_rev_21,63,-0.00024900465934682783,-0.049467225929173,3.6942289408803757,False,239,373
downside_vol_60,63,-0.028927865691408004,-3.454252963224406,9.277075654884626,False,293,426
max_dd_120,63,0.0502742514102399,5.029425321774075,6.0819098592263785,False,293,426
ulcer_120,63,-0.055948084607426,-5.7983622032598,6.044622848177087,False,293,426
max_dd_252,63,0.03763141119659787,3.858927438053581,12.807659428185236,False,293,426
ulcer_252,63,-0.04278548844761228,-4.45838234320887,14.13413336366412,False,293,426
parkinson_60,63,-0.013068102475035643,-1.4089770898997878,10.772258377705116,False,293,426
garman_klass_60,63,-0.010833341943138921,-1.197302098232485,10.991256447071379,False,293,426
atr_pct_14,63,-0.006163426076599579,-0.7303139433788695,10.06191265695788,False,293,426
log_adtv_60,63,-0.0286677137241661,-5.516194506609809,10.665010890732226,False,293,426
turnover_trend,63,0.009752022386707606,2.236455899510366,4.816104926154146,False,293,426
