slots,entry,exit,rebal,cap,univ,ann,bench,excess,ir,sharpe,maxdd,cost,hold,mhold,ntr,cash,yr_pos,yr_min,y2020,y2021,y2022,y2023,y2024
8,10,24,1,3,500,0.49945309094081636,0.29716493118767007,0.2022881597531463,1.0047393726280218,1.599432440807746,-0.4206967121645646,0.05574375151423862,25.0,33.63799283154122,279,0.0015957446808510637,0.8,-0.08561539996947398,0.12133584332692582,0.4730586999328332,0.07438197103548405,0.2408364325998269,-0.08561539996947398
8,10,24,1,3,750,0.5339397785001165,0.29716493118767007,0.23677484731244647,1.1093992448364562,1.6551482579109966,-0.4206967121645646,0.059271233933574294,20.0,31.531986531986533,297,0.003723404255319149,1.0,0.10376311962471685,0.12133584332692582,0.35777206740800005,0.15234100737549072,0.15870197407872544,0.10376311962471685
8,10,24,2,2,500,0.4164728463634233,0.29716493118767007,0.11930791517575323,0.5938530636408729,1.4338381939946923,-0.37434506851894656,0.04587213709720315,30.0,39.03765690376569,239,0.007446808510638298,0.6,-0.061360728420462474,0.04703535587951646,0.4201669940091979,-0.05556593464738313,0.14232064923022159,-0.061360728420462474
8,10,24,2,2,750,0.4965014523056903,0.29716493118767007,0.19933652111802025,0.9059546652960985,1.6400786471767497,-0.37434506851894656,0.044977758073530646,30.0,39.23728813559322,236,0.014893617021276596,1.0,0.03381869900206502,0.04703535587951646,0.4278824189189254,0.040723020721104675,0.20981212433386776,0.03381869900206502
8,10,24,2,3,500,0.43778452942022383,0.29716493118767007,0.14061959823255377,0.6814832100940075,1.490680316838235,-0.37434506851894656,0.04610748096500507,30.0,40.257510729613735,233,0.002127659574468085,0.6,-0.10250426680168234,0.060657605944996806,0.5205587424238081,-0.10250426680168234,0.23542232465721624,-0.0965958875809767
8,10,24,2,3,750,0.5041284719831378,0.29716493118767007,0.20696354079546775,0.9436309796111378,1.6471143085748134,-0.37434506851894656,0.046785506452676685,30.0,39.49367088607595,237,0.00425531914893617,0.8,-0.005475102091784145,0.060657605944996806,0.5324312201213293,0.0329727019303665,0.1981692544928897,-0.005475102091784145
8,12,16,1,2,500,0.42495396309002587,0.29716493118767007,0.1277890319023558,0.6465480275570761,1.473087524753684,-0.36043440200812704,0.07995079386979678,15.0,22.380382775119617,418,0.0047872340425531915,0.6,-0.05362318693748103,0.15986374581285467,0.1932714566785647,-0.0435199071845811,0.23702805086056333,-0.05362318693748103
8,12,16,1,2,750,0.4063458433266607,0.29716493118767007,0.10918091213899062,0.5641035278385139,1.4296113793768646,-0.36043440200812704,0.08548832731544312,15.0,21.267123287671232,438,0.009042553191489361,0.6,-0.026030832389785652,0.15986374581285467,0.12792385730042333,-0.026030832389785652,0.16096517583175962,-0.016873617313855505
8,12,16,1,3,500,0.39314365406194396,0.29716493118767007,0.09597872287427389,0.5037436317931762,1.3844646394118136,-0.36043440200812704,0.07999433973708706,15.0,23.15270935960591,406,0.0,0.6,-0.11112106509424724,0.13104343155784193,0.28451281725449085,-0.11112106509424724,0.18192389811273846,-0.0875906148049922
8,12,16,1,3,750,0.40463932606210906,0.29716493118767007,0.107474394874439,0.5552986764615254,1.4184285871095448,-0.36043440200812704,0.0824002549803808,15.0,22.946210268948654,409,0.0015957446808510637,0.6,-0.060410268262025446,0.13104343155784193,0.2065573856802989,-0.060410268262025446,0.1716748113516322,-0.03636437566473638
8,12,16,2,2,500,0.3662253830624089,0.29716493118767007,0.06906045187473886,0.39789353767023294,1.295773452878901,-0.36981583744391144,0.06048910501723359,20.0,29.49685534591195,318,0.002127659574468085,0.6,-0.12434696597171657,0.05006476602881138,0.22351332303817983,-0.063606381048813,0.21261991384506485,-0.12434696597171657
8,12,16,2,2,750,0.3784674107083992,0.29716493118767007,0.08130247952072911,0.4563262906797491,1.3291283991318494,-0.36981583744391144,0.06293673529270945,20.0,28.796296296296298,324,0.007446808510638298,0.8,-0.1188181314823894,0.05006476602881138,0.1437673434877602,0.0002270886609423428,0.2598887046874936,-0.1188181314823894
8,12,16,2,3,500,0.41612354619422387,0.29716493118767007,0.1189586150065538,0.6032550641916776,1.4304227943727612,-0.36981583744391144,0.060610366984872134,20.0,30.388349514563107,309,0.0010638297872340426,0.6,-0.08518314036238916,0.06062695003818752,0.3747817480737037,-0.04246370975366187,0.18093201102976808,-0.08518314036238916
8,12,16,2,3,750,0.4139132151041245,0.29716493118767007,0.11674828391645442,0.6061656584298125,1.4231996676870828,-0.36981583744391144,0.06195137791805898,20.0,30.258064516129032,310,0.002127659574468085,0.6,-0.10903847247785559,0.06062695003818752,0.28517641635901514,-0.0023798165017997475,0.2393691458962086,-0.10903847247785559
8,12,18,1,2,500,0.5105332396465796,0.29716493118767007,0.21336830845890953,1.0210559433802502,1.6374776976328913,-0.4054453896823781,0.0701286314691986,15.0,25.76923076923077,364,0.002127659574468085,0.6,-0.03502139027154749,0.28352896604079136,0.4218141546826075,-0.03502139027154749,0.21378739106972522,-0.032446117883712655
8,12,18,1,2,750,0.5009080118531168,0.29716493118767007,0.20374308066544677,0.9645252133302784,1.597213277380363,-0.4054453896823781,0.07712299214596258,15.0,23.8265306122449,392,0.006382978723404255,0.8,-0.007344266213701878,0.28352896604079136,0.31054407311264054,-0.007344266213701878,0.15709252178082678,0.04038190334420877
8,12,18,1,3,500,0.4748015404209771,0.29716493118767007,0.17763660923330704,0.8652135890644169,1.5378475084022218,-0.4262823291852841,0.07113428943867704,15.0,26.243016759776538,358,0.0005319148936170213,0.8,-0.080980113238454,0.11680284068924052,0.4051226140880819,0.021191652770898628,0.2574004826474283,-0.080980113238454
8,12,18,1,3,750,0.46477410487768567,0.29716493118767007,0.1676091736900156,0.8149252250588971,1.499112655997161,-0.4262823291852841,0.07567448910044673,15.0,25.106951871657753,374,0.0010638297872340426,0.6,-0.02124043734762504,0.11680284068924052,0.391834884562517,-0.0048527038811818635,0.18731977243465203,-0.02124043734762504
8,12,18,2,2,500,0.3350172577394561,0.29716493118767007,0.03785232655178605,0.2556203768086971,1.2194533987436458,-0.36981583744391144,0.0547521047682541,30.0,32.68292682926829,287,0.002127659574468085,0.6,-0.15993659047453868,0.0665198470758781,0.27193233420410534,-0.15993659047453868,0.10281736051288326,-0.09069991542789879
8,12,18,2,2,750,0.3592351899423176,0.29716493118767007,0.062070258754647556,0.36872769013613105,1.2815472956151717,-0.36981583744391144,0.058265647260204965,20.0,30.960264900662253,302,0.005319148936170213,0.6,-0.1353783758466658,0.0665198470758781,0.23262731003350567,-0.09599281191048903,0.2132237497056304,-0.1353783758466658
8,12,18,2,3,500,0.4078322673298236,0.29716493118767007,0.11066733614215352,0.5674677274728362,1.4086651505279826,-0.36981583744391144,0.05684426327435841,30.0,32.83216783216783,286,0.0010638297872340426,0.6,-0.10950325670541627,0.03645039602644484,0.39603942273131887,-0.05765062289482459,0.20837921303951257,-0.10950325670541627
8,12,18,2,3,750,0.43340611474429713,0.29716493118767007,0.13624118355662707,0.6934597477705207,1.4739957701437403,-0.36981583744391144,0.05809302027251716,20.0,32.12328767123287,292,0.002127659574468085,0.6,-0.05531961499021898,0.03645039602644484,0.3599300786358237,-0.033663576253534,0.24593380231748152,-0.05531961499021898
