slots,entry,exit,rebal,cap,univ,wt,ann,bench,excess,ir,sharpe,maxdd,cost,hold,mhold,ntr,yr_pos,y2020,y2021,y2022,y2023,y2024
8,12,32,1,2,500,equal,0.49330610924285856,0.29716493118767007,0.1961411780551885,0.9131676161766336,1.6219133701408341,-0.3672880796435295,0.04278347264749612,35.0,42.152466367713004,223,0.6,0.18529727281219865,0.4464592259419846,-0.10498776355989137,0.2951030925641438,-0.024479363583564506
8,12,32,1,2,750,equal,0.521345619086824,0.29716493118767007,0.2241806878991539,1.0272762539669915,1.6710455707624896,-0.3672880796435295,0.046025459485299035,30.0,39.125,240,0.8,0.18529727281219865,0.38482168235457603,0.011288773407052588,0.29322184227735226,-0.010305771475190184
8,12,32,1,3,500,equal,0.529698934609357,0.29716493118767007,0.23253400342168695,1.0444087435490061,1.6733893812844878,-0.3672880796435295,0.04478215382771527,32.5,42.34234234234234,222,0.8,0.17459668480706658,0.39148610468210854,-0.12810306206101696,0.32090775884241807,0.15995875504709423
8,12,32,1,3,750,equal,0.5596879926920122,0.29716493118767007,0.2625230615043421,1.1357071832659127,1.7402697885786327,-0.3672880796435295,0.04578856018597721,30.0,41.409691629955944,227,0.8,0.17459668480706658,0.4282476644846711,-0.08752123925361521,0.3285752101298032,0.1735202087445269
8,12,32,2,2,500,equal,0.3999414020318355,0.29716493118767007,0.10277647084416541,0.5411030378463071,1.3979489790746418,-0.36476531869788564,0.038894798351981015,40.0,46.48514851485149,202,0.6,0.18055388374768944,0.26747028720334587,-0.13815797000057117,0.20040317569557642,-0.0766387603709332
8,12,32,2,2,750,equal,0.474681557227574,0.29716493118767007,0.17751662603990392,0.8499895415199664,1.5698284764269828,-0.36476531869788564,0.03909199113104502,40.0,46.206896551724135,203,0.8,0.18055388374768944,0.30739586065592195,-0.07800850648787938,0.2355383075101829,0.042147873167484695
8,12,32,2,3,500,equal,0.37146208838913886,0.29716493118767007,0.07429715720146879,0.41693490789353005,1.3024747000802392,-0.36476531869788564,0.04038899001964517,40.0,46.53465346534654,202,0.6,0.14163786689205837,0.28110669989173176,-0.2119963464785326,0.2318453695852536,-0.08258334742433227
8,12,32,2,3,750,equal,0.4111081582805083,0.29716493118767007,0.11394322709283822,0.5886516203661805,1.409389927814665,-0.36476531869788564,0.04013501782824065,40.0,46.9,200,0.8,0.14163786689205837,0.27892258196075503,-0.17959283039723606,0.20568586758318808,0.03125746990356304
8,12,32,4,2,500,equal,0.429020554141488,0.29716493118767007,0.13185562295381792,0.642361238789107,1.4757038960689643,-0.35314785611820687,0.031100612607780336,40.0,59.119496855345915,159,0.8,0.18205435381469615,0.37663031745600195,-0.19381698581265594,0.14228024365390746,0.04470361202925677
8,12,32,4,2,750,equal,0.44397664008346016,0.29716493118767007,0.1468117088957901,0.7057571926945531,1.494626455726201,-0.3375329522602899,0.030828781923755676,40.0,58.75,160,0.8,0.18205435381469615,0.3776458181418614,-0.20942326138715672,0.15462522346035534,0.11098417347520195
8,12,32,4,3,500,equal,0.38374535853249037,0.29716493118767007,0.0865804273448203,0.4576812136645075,1.3485420689217897,-0.3710425664466692,0.03161376938178484,40.0,59.87261146496815,157,0.8,0.17824948191195666,0.3536930931858109,-0.2141933495742283,0.07538216014052002,0.0007307517878853975
8,12,32,4,3,750,equal,0.45604322639796546,0.29716493118767007,0.1588782952102954,0.7507667693367078,1.5134442012685907,-0.3375329522602899,0.03188821158266205,40.0,59.87261146496815,157,0.8,0.17824948191195666,0.36066287656423146,-0.1468206869707549,0.10450847980244982,0.1388594244394934
8,12,48,1,2,500,equal,0.48022536331741983,0.29716493118767007,0.18306043212974976,0.8517844278866088,1.5663859563096922,-0.34958524885124287,0.03258992506065988,45.0,56.626506024096386,166,0.6,0.3724711384289119,0.35580685402844714,-0.0790778427027864,0.19289444520977073,-0.0878775042189015
8,12,48,1,2,750,equal,0.5411656567038741,0.29716493118767007,0.244000725516204,1.09150514334421,1.6987016878291792,-0.34958524885124287,0.03343054010992539,40.0,54.02298850574713,174,0.8,0.3724711384289119,0.4193140234030839,-0.0841970133821851,0.23713820074505243,0.025178944714378648
8,12,48,1,3,500,equal,0.46027551057752425,0.29716493118767007,0.16311057938985418,0.7595519562623737,1.5198019670948417,-0.3765907834677751,0.03223747401222032,45.0,57.668711656441715,163,0.6,0.38273441228263305,0.4313444412143943,-0.22986300736337162,0.15154617378945323,-0.0069167187534106
8,12,48,1,3,750,equal,0.5297666965024344,0.29716493118767007,0.23260176531476429,1.037893863522,1.6773350825777307,-0.3660826535260471,0.03378615384129039,45.0,54.97076023391813,171,0.8,0.38273441228263305,0.49977393535690506,-0.20220688849581592,0.2024084721981494,0.09489485529285213
8,12,48,2,2,500,equal,0.5355028962556159,0.29716493118767007,0.2383379650679458,1.0773105899790112,1.7211510655994484,-0.31712991781671873,0.027645984211134535,50.0,64.82758620689656,145,0.8,0.4853557661987462,0.30017038719398803,-0.08028854770131721,0.19242515209757616,0.042515116156462085
8,12,48,2,2,750,equal,0.500669140529661,0.29716493118767007,0.20350420934199098,0.915337159675044,1.6242977463482482,-0.33589731544655355,0.029630157432027803,50.0,60.645161290322584,155,0.6,0.4853557661987462,0.40897009020804953,-0.16100556468157912,0.1930526840993565,-0.054999426830566356
8,12,48,2,3,500,equal,0.5926222044303484,0.29716493118767007,0.29545727324267834,1.2495460279771466,1.8494955889364952,-0.3344810443122239,0.02741262436258734,50.0,67.62589928057554,139,0.8,0.4932638285429838,0.46128540208993685,-0.17151050381005684,0.36584628361820615,0.0579271192419637
